Date,open,high,low,close,volume,SMA_10,EMA_10,RSI_14,Company_BAJFINANCE,Company_HDFCBANK,Company_ICICIBANK,Company_INFY,Company_ITC,Company_KOTAKBANK,Company_RELIANCE,Company_SBIN,Company_TCS
05-08-2022,2349.244,2350.1556,2304.1188,2309.9988,133584,2452.44487,2395.642805,53.31158469,0,0,0,0,0,1,0,0,0
05-08-2022,821.55,840.9,821.55,838.4,286695,2376.31987,2112.507749,45.72942341,0,0,0,0,0,0,1,0,0
05-08-2022,535,542.75,529,530.65,530720,2376.09487,1824.897249,50.55407275,0,0,0,0,1,0,0,0,0
05-08-2022,309.9,311.75,309.1,310.75,263423,2223.65987,1549.59775,47.06300188,0,0,0,0,1,0,0,0,0
05-08-2022,3354,3377,3354,3365.25,25229,2224.76988,1879.716341,52.40816856,0,0,0,1,0,0,0,0,0
05-08-2022,7305,7367.85,7273.2,7303.2,38726,2223.24988,2865.804279,61.69026151,0,0,0,0,0,0,0,0,0
08-08-2022,7295,7397,7264.25,7343.45,22653,2795.93988,3679.921682,64.57241649,0,0,0,0,0,0,0,0,0
08-08-2022,1833,1849.4,1818,1843.75,126516,2837.65988,3346.072286,50.01568993,0,0,0,0,0,0,1,0,0
08-08-2022,3361,3378.8999,3335.5,3373.95,86210,2991.69988,3351.140961,50.03590018,0,1,0,0,0,0,0,0,0
08-08-2022,838.4,842.3,830.95,836.4,320925,2805.57988,2893.915332,37.60607115,0,0,1,0,0,0,0,0,0
08-08-2022,1616.1,1621.85,1596,1619.1,176232,2736.49,2662.130726,50.00600544,0,0,0,0,0,0,0,0,1
08-08-2022,1428.45,1464,1427.15,1460.95,188564,2798.745,2443.73423,50.08113629,0,0,0,0,1,0,0,0,0
08-08-2022,525,525,514,520.3,826104,2797.71,2094.018916,46.97861043,0,0,1,0,0,0,0,0,0
08-08-2022,2310.956,2355.1695,2307.9021,2339.9455,187347,3000.62955,2138.73284,49.21180314,0,0,0,0,0,0,0,0,1
08-08-2022,310.75,313.9,310.25,313,251041,2695.40455,1806.781415,45.89559215,0,0,0,0,0,0,0,1,0
08-08-2022,2698,2807.75,2697,2792.35,38467,2244.31955,1985.975703,53.85618988,0,1,0,0,0,0,0,0,0
10-08-2022,840,853,840,848.5,454764,1594.82455,1779.161939,50.58923655,0,0,0,0,1,0,0,0,0
10-08-2022,1462,1471.6,1449.4,1466,283823,1557.04955,1722.223404,52.11051279,0,0,1,0,0,0,0,0,0
10-08-2022,522.7,523.4,513.55,514.5,390323,1271.10455,1502.637331,44.35851212,0,0,0,1,0,0,0,0,0
10-08-2022,2800,2835,2780.7,2826.85,54625,1470.14955,1743.403271,40.53239122,0,0,0,0,1,0,0,0,0
10-08-2022,2344.6859,2361.0495,2331.9232,2353.7565,111725,1543.6152,1854.376585,39.63640747,0,0,0,1,0,0,0,0,0
10-08-2022,1619,1620.25,1588.5,1601.4,222406,1557.6602,1808.380842,49.37298977,0,0,0,0,1,0,0,0,0
10-08-2022,3377.1001,3380.3,3335,3356,72060,1841.2302,2089.766144,49.95409264,0,0,0,0,0,1,0,0,0
10-08-2022,1849.9,1849.9,1821.05,1827.4,19019,1789.97565,2042.063209,52.6724137,0,0,1,0,0,0,0,0,0
10-08-2022,7362.05,7362.05,7108.3,7147.75,75750,2473.45065,2970.369898,61.9776943,0,0,1,0,0,0,0,0,0
10-08-2022,313.45,314,310.8,311.15,198399,2225.33065,2486.875371,48.06804299,0,0,0,0,0,0,0,0,0
11-08-2022,1845,1856.7,1834.45,1854.15,21720,2325.89565,2371.834394,52.1967414,0,0,0,0,0,1,0,0,0
11-08-2022,520,525.95,517.1,524.55,348550,2231.75065,2035.964505,46.9611416,0,1,0,0,0,0,0,0,0
11-08-2022,2850,2850,2816.35,2833.25,37404,2463.62565,2180.925504,54.17931808,1,0,0,0,0,0,0,0,0
11-08-2022,313.1,313.35,305.5,306.3,364772,2211.57065,1840.084503,45.8838937,0,0,0,0,0,1,0,0,0
11-08-2022,1625,1631,1616.15,1619.7,196646,2138.165,1800.014593,51.30408609,0,0,0,1,0,0,0,0,0
11-08-2022,2370.2113,2383.8856,2352.7082,2361.2774,99044,2214.15274,1902.062376,51.50757271,1,0,0,0,0,0,0,0,0
11-08-2022,854.2,866.15,854.2,859.3,1379629,1964.48274,1712.469217,50.57004635,0,1,0,0,0,0,0,0,0
11-08-2022,3393,3428,3377,3422.45,124557,2123.98774,2023.374814,50.97658701,0,0,0,0,0,0,1,0,0
11-08-2022,1480,1491,1474.65,1486.75,322358,1557.88774,1925.806666,48.6434609,0,0,0,0,0,1,0,0,0
11-08-2022,7222,7327.85,7220,7316.25,25056,2258.39774,2905.887272,57.71574169,0,0,0,1,0,0,0,0,0
12-08-2022,1610.55,1613.7,1590,1594.5,211754,2232.43274,2667.453223,47.85187405,0,0,1,0,0,0,0,0,0
12-08-2022,306,309.35,304.45,308.4,707478,2210.81774,2238.534455,48.13657837,0,1,0,0,0,0,0,0,0
12-08-2022,525.1,531.55,525.1,530.65,353214,1980.55774,1928.010009,40.72202367,0,0,0,0,0,0,0,0,1
12-08-2022,1481,1488.8,1476,1484.75,310327,2098.40274,1847.41728,51.97059854,0,0,0,1,0,0,0,0,0
12-08-2022,2357.6765,2407.5877,2353.8933,2399.9757,222555,2176.43031,1947.882447,50.93623682,0,0,0,0,0,0,0,1,0
12-08-2022,860,876.95,858.3,874.75,274292,2027.77757,1752.767457,50.59668217,0,0,0,1,0,0,0,0,0
12-08-2022,3420,3420.1001,3382,3399.8,112772,2281.82757,2052.227919,50.95824173,0,0,0,0,0,0,0,1,0
12-08-2022,1855,1858,1836.5,1841.1,80615,2123.69257,2013.841025,52.68380739,0,0,0,0,0,0,0,0,1
12-08-2022,7298,7340,7273,7308.8,20998,2705.89757,2976.560838,58.68617766,0,0,0,0,0,0,1,0,0
12-08-2022,2845.95,2870.45,2834.6,2864.35,24320,2260.70757,2956.158868,50.69006923,0,0,0,1,0,0,0,0,0
16-08-2022,309.65,311.5,308.7,310.5,375538,2132.30757,2475.129983,49.26832035,0,0,0,0,0,0,0,0,1
16-08-2022,1840.05,1860.9,1839.25,1846.7,22335,2286.13757,2360.869986,47.84000633,0,0,0,0,0,0,0,0,0
16-08-2022,532,534,525,525.9,283045,2285.66257,2027.239079,48.66030975,0,0,0,0,1,0,0,0,0
16-08-2022,1490,1508.6,1488.25,1501.95,131621,2287.38257,1931.731974,40.62435038,0,0,1,0,0,0,0,0,0
16-08-2022,2882,2985,2872.5,2974.85,56881,2344.87,2121.389797,52.5792641,0,0,0,0,0,0,0,0,1
16-08-2022,3403.05,3413.5,3387.8,3392.95,22937,2596.69,2352.582561,55.95689137,0,0,0,0,0,0,0,0,1
16-08-2022,2415.6099,2421.8089,2395.5543,2416.2936,75427,2498.33936,2364.166386,53.53845571,0,1,0,0,0,0,0,0,0
16-08-2022,1601.2,1608.45,1591.1,1595.8,140346,2473.80936,2224.463407,50.20943819,0,0,0,0,0,0,0,0,0
16-08-2022,878.55,884.5,876.5,879.65,254192,1830.89436,1979.951878,47.11100091,1,0,0,0,0,0,0,0,0
16-08-2022,7317,7385,7271.4,7285.6,17007,2273.01936,2944.615173,60.27608714,0,1,0,0,0,0,0,0,0
17-08-2022,2425.4098,2440.953,2421.262,2428.9652,114212,2484.86588,2850.860633,48.55205761,0,0,0,0,0,0,0,0,1
17-08-2022,1500,1512,1486.05,1509.2,196144,2451.11588,2606.922336,49.49537337,0,0,0,0,0,1,0,0,0
17-08-2022,1844.95,1850.5,1830.55,1840.55,74074,2582.58088,2467.581911,40.14706651,0,0,0,0,0,0,0,1,0
17-08-2022,526.9,530.5,524.3,528,331229,2485.18588,2114.930655,45.25468722,1,0,0,0,0,0,0,0,0
17-08-2022,884.55,885.6,878.15,883.2,356579,2276.02088,1890.979626,51.27727621,0,0,0,0,0,0,0,0,0
17-08-2022,1594,1612,1585.45,1606.75,170965,2097.40088,1839.301513,49.44471829,0,0,0,1,0,0,0,0,0
17-08-2022,3385,3417,3371,3400.6499,111891,2195.83651,2123.183038,56.51007148,0,0,0,0,0,0,0,0,0
17-08-2022,311,314.7,311,313.25,489446,2067.58151,1794.104303,47.54305389,1,0,0,0,0,0,0,0,0
17-08-2022,2980.2,3028.6,2980.05,3008.9,48398,2280.50651,2014.976248,50.06699235,0,0,0,0,0,0,0,1,0
17-08-2022,7319,7635,7313.25,7524.9,66158,2304.43651,3016.780567,57.0006354,0,0,0,0,1,0,0,0,0
18-08-2022,1499.2,1513.5,1499.2,1511.45,82036,2212.68499,2743.0841,48.69045609,0,0,0,0,1,0,0,0,0
18-08-2022,3399,3399,3361.7,3381.25,137979,2399.88999,2859.114264,52.50784119,0,0,0,1,0,0,0,0,0
18-08-2022,3014,3186.65,3002.45,3153.65,168784,2531.19999,2912.666216,53.23850433,0,0,1,0,0,0,0,0,0
18-08-2022,1833,1910.5,1833,1904,164966,2668.79999,2729.272358,41.01644264,0,1,0,0,0,0,0,0,0
18-08-2022,313,316,312.65,315.45,601315,2612.02499,2290.395566,46.03979476,0,0,0,0,0,0,0,1,0
18-08-2022,880.2,887.25,875.1,885,1575566,2539.84999,2034.869099,48.81484912,0,0,0,0,0,1,0,0,0
18-08-2022,7494,7588.1,7453.75,7490.9,28434,2948.875,3026.874718,58.66385561,0,0,0,0,0,1,0,0,0
18-08-2022,2428.0535,2432.6572,2406.904,2425.501,181482,3160.1001,2917.534042,52.60921008,0,0,0,1,0,0,0,0,0
18-08-2022,526.05,534.85,526.05,532.4,289749,2912.4501,2483.873307,49.53719706,0,0,0,0,0,0,0,1,0
18-08-2022,1589,1600,1574,1582.7,310886,2318.2301,2320.023615,49.96854256,0,0,0,0,1,0,0,0,0
19-08-2022,7505,7540.7,7271,7301.2,66303,2897.2051,3225.692048,54.62689377,1,0,0,0,0,0,0,0,0
19-08-2022,1512,1512,1490,1493.45,190239,2708.4251,2910.738949,51.31509743,0,0,0,0,0,0,0,0,0
19-08-2022,1584,1604.7,1584,1597.4,239068,2552.8001,2671.950049,48.33075131,0,0,0,0,0,1,0,0,0
19-08-2022,532,533.3,518.5,520.4,564022,2414.4401,2280.759131,40.98299455,0,1,0,0,0,0,0,0,0
19-08-2022,2419.4843,2425.8201,2375.0429,2382.6093,136003,2621.15603,2299.277344,51.25566143,0,0,0,0,1,0,0,0,0
19-08-2022,883.7,886.55,864.4,870.35,151434,2619.69103,2039.472372,46.34317753,0,0,0,0,0,0,0,1,0
19-08-2022,3177,3258.05,3075.1,3129.05,308626,2183.50603,2237.577395,49.96617424,0,0,0,0,0,0,1,0,0
19-08-2022,3388,3421,3371.05,3385.25,140465,2279.48093,2446.245142,52.09397292,0,0,0,0,1,0,0,0,0
19-08-2022,1920,1942.6,1872,1877.35,124802,2413.97593,2342.809661,52.2130302,1,0,0,0,0,0,0,0,0
19-08-2022,315.75,315.95,311.25,312.2,268734,2286.92593,1973.607905,49.2106783,0,0,0,0,0,0,0,0,0
22-08-2022,518.1,519,510,511.2,462814,1607.92593,1707.715558,38.31943935,0,0,0,0,0,0,1,0,0
22-08-2022,1482.6,1487.9,1467.65,1470.15,406738,1605.59593,1664.52182,48.14645895,0,0,0,1,0,0,0,0,0
22-08-2022,3369,3384.45,3347,3354.25,96277,1781.28093,1971.745126,55.47677478,1,0,0,0,0,0,0,0,0
22-08-2022,309.05,316.95,309.05,314.2,786896,1760.66093,1670.373285,47.71455596,0,1,0,0,0,0,0,0,0
22-08-2022,862.2,866.4,849.4,852.15,174368,1607.615,1521.605415,35.7139652,0,0,0,0,0,0,0,0,1
22-08-2022,2384.7972,2398.0613,2357.6309,2376.3191,167523,1758.21191,1677.007903,52.41384789,0,0,0,0,0,0,1,0,0
22-08-2022,7290.15,7290.15,7088.45,7103.2,32859,2155.62691,2663.588284,62.01587816,0,0,0,0,0,0,0,0,1
22-08-2022,1830,1836,1818,1831.15,150148,2000.21691,2512.235869,52.4178611,0,0,0,1,0,0,0,0,0
22-08-2022,1585,1599.55,1573.85,1575.45,367105,1970.02691,2341.911166,48.41727632,0,0,0,0,0,0,0,1,0
22-08-2022,3130,3192.25,3029.75,3052,148427,2244.00691,2471.018226,54.28390216,1,0,0,0,0,0,0,0,0
23-08-2022,1450.25,1475.5,1450.25,1465.85,295298,2339.47191,2288.260367,46.64552979,1,0,0,0,0,0,0,0,0
23-08-2022,840,868.35,840,864.65,331863,2278.92191,2029.422118,44.98603585,0,0,0,0,0,0,1,0,0
23-08-2022,1546.55,1554.85,1533,1542.55,166691,2097.75191,1940.899915,49.3112755,0,0,0,0,0,0,0,0,1
23-08-2022,7041,7249.9,7041,7206.95,67604,2787.02691,2898.363567,62.13648629,0,0,0,0,0,0,0,1,0
23-08-2022,3324.25,3340.8999,3274.55,3283.75,122593,3030.18691,2968.433827,54.3146821,0,0,1,0,0,0,0,0,0
23-08-2022,506.2,523.9,506.2,522.05,306013,2844.76,2523.636768,48.60294118,0,0,0,0,0,0,0,0,1
23-08-2022,313.8,316.05,312.55,315.8,283107,2166.02,2122.211901,45.28983092,0,0,0,0,1,0,0,0,0
23-08-2022,2357.4486,2417.6155,2357.4486,2413.5132,225535,2224.25632,2175.175774,53.35227025,0,0,0,0,0,1,0,0,0
23-08-2022,3033.15,3075,2929.05,3023.65,447369,2369.07632,2329.443815,53.45956538,0,1,0,0,0,0,0,0,0
23-08-2022,1818,1869.05,1818,1856.65,34878,2249.54132,2243.481303,49.16254886,0,0,1,0,0,0,0,0,0
24-08-2022,3039.85,3151.65,2987,3136.6,138941,2416.61632,2405.866521,42.80889343,0,0,0,0,0,0,0,0,0
24-08-2022,519.5,523,512.1,519.15,433428,2382.06632,2062.827153,47.36813599,0,0,0,1,0,0,0,0,0
24-08-2022,315.8,319.5,313.2,314.25,549826,2259.23632,1744.904034,47.46487367,0,0,1,0,0,0,0,0,0
24-08-2022,2404.3058,2432.6572,2403.0296,2405.81,150278,1779.12232,1865.068755,48.73243934,0,0,0,0,0,0,0,0,0
24-08-2022,1537,1546,1531.15,1537.3,165619,1604.47732,1805.474436,50.144216,0,1,0,0,0,0,0,0,0
24-08-2022,856,875,855.9,872.55,620407,1639.52732,1635.851812,50.0159047,0,0,0,0,0,0,0,1,0
24-08-2022,3295,3307.8501,3251,3255.3501,53777,1933.48233,1930.306046,53.2267887,0,0,1,0,0,0,0,0,0
24-08-2022,7180,7236.5,7141,7174.8,15906,2409.61101,2883.850401,49.93516935,0,0,0,0,0,0,0,0,0
24-08-2022,1465.85,1475.9,1458.6,1471.3,278434,2254.37601,2627.023055,46.59002012,0,0,0,0,0,0,0,0,1
24-08-2022,1850,1872.65,1842.4,1868.35,36697,2255.54601,2489.0825,52.78034548,0,0,0,0,0,0,1,0,0
25-08-2022,3270.2,3279.95,3213.5,3218.1001,91523,2263.69602,2621.631154,55.72343726,0,0,0,1,0,0,0,0,0
25-08-2022,2416.7039,2427.0052,2390.2669,2398.0157,86635,2451.58259,2580.973799,49.96781665,0,0,1,0,0,0,0,0,0
25-08-2022,3164,3177.45,3055.75,3066.8,164737,2726.83759,2669.305836,50.089391,0,0,0,0,1,0,0,0,0
25-08-2022,874.7,881,867,871.4,293342,2573.39659,2342.413866,48.04233747,0,0,1,0,0,0,0,0,0
25-08-2022,521.5,528.25,518.65,520.55,372408,2471.72159,2011.16589,44.60270807,0,0,0,0,0,1,0,0,0
25-08-2022,1477,1486.6,1459,1463.85,147945,2530.85159,1911.65391,52.09368608,0,1,0,0,0,0,0,0,0
25-08-2022,7249,7249,7028,7045.15,38871,2909.83158,2845.016835,62.04653078,1,0,0,0,0,0,0,0,0
25-08-2022,315.05,316.35,311.5,312.3,376381,2223.58158,2384.522865,46.78696412,0,0,0,0,0,1,0,0,0
25-08-2022,1545.35,1549,1514,1518.85,290522,2228.33658,2227.127799,49.97197447,0,0,1,0,0,0,0,0,0
25-08-2022,1875,1905.2,1857.45,1869.4,111802,2228.44158,2162.086381,51.52880699,0,0,0,0,0,0,0,1,0
26-08-2022,2404.8528,2413.8779,2377.5042,2387.3041,185236,2145.36198,2203.035057,48.58796095,0,0,0,0,0,0,1,0,0
26-08-2022,1536,1544.05,1518.05,1521.85,188877,2057.74541,2079.183229,39.78997358,1,0,0,0,0,0,0,0,0
26-08-2022,874.4,877.45,867.35,870.9,209558,1838.15541,1859.495369,48.67348788,0,1,0,0,0,0,0,0,0
26-08-2022,313.9,315.3,312.05,312.65,288748,1782.28041,1578.250756,46.58717627,0,0,0,1,0,0,0,0,0
26-08-2022,523.05,529.45,522.2,523.8,540353,1782.60541,1386.532437,43.77856832,0,0,0,0,0,0,0,0,0
26-08-2022,1870,1926.8,1870,1901.35,448430,1826.35541,1480.13563,48.88192963,0,0,0,0,0,1,0,0,0
26-08-2022,3234.8501,3257,3218.1001,3221.6499,28323,1444.0054,1796.774588,50.33865689,0,0,0,0,0,1,0,0,0
26-08-2022,3078,3172,3078,3139.45,159194,1726.7204,2040.897391,55.4654025,0,0,0,1,0,0,0,0,0
26-08-2022,1468.25,1481.45,1462,1463.4,138951,1721.1754,1935.897865,52.1356227,0,0,0,0,0,0,1,0,0
26-08-2022,7090,7142.6,7029,7062.85,25726,2240.5204,2868.07098,60.47305199,0,0,0,0,0,1,0,0,0
29-08-2022,2342.8627,2418.8006,2342.8627,2367.2941,504166,2238.5194,2777.020639,40.9500897,0,0,0,0,0,1,0,0,0
29-08-2022,847,860.85,847,855.75,321909,2171.9094,2427.698704,51.31755305,1,0,0,0,0,0,0,0,0
29-08-2022,508.2,516.75,508.2,514.7,468398,2136.2894,2079.880758,47.45887202,0,0,1,0,0,0,0,0,0
29-08-2022,3059,3165,3041.25,3142.7,81715,2419.2944,2273.12062,52.88921358,0,0,0,0,0,1,0,0,0
